import_country,export_country,trade,trade_prime,dist1,dist2,dist3,dist4,dist5,dist6,border,common_language,both_in_EU,both_in_EFTA,distance
15,15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0
15,16,-7.015855525910334,-7.015855525910334,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11364.0
15,17,-7.612868236956393,-7.612868236956394,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9454.0
15,18,-5.584950980850606,-5.584950980850606,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7353.0
15,19,-7.393850166048363,-7.393850166048363,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11143.0
15,20,-8.485999341645066,-8.485999341645066,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10266.0
16,1,-1.9878350044480195,-1.9878350044480195,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5877.0
16,2,-1.9338682159649092,-1.9338682159649097,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8894.0
16,3,-1.6207238765701335,-1.6207238765701335,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,579.0
16,4,-3.802764034394138,-3.802764034394138,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9311.0
16,5,-3.161264572849003,-3.161264572849003,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6366.0
16,6,-2.6885213374011285,-2.688521337401128,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,358.0
16,7,-3.098950894501736,-3.098950894501736,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,431.0
16,8,-3.301241318378332,-3.301241318378332,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1298.0
16,9,-3.799891314763155,-3.799891314763155,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9782.0
16,10,-4.567989536080225,-4.567989536080225,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5997.0
16,11,-5.694421541326976,-5.694421541326976,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9230.0
16,12,-4.86992402843709,-4.86992402843709,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16541.0
16,13,-4.635027014371024,-4.635027014371024,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8578.0
16,14,-3.755432649912613,-3.755432649912613,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1482.0
16,15,-4.994763636390386,-4.994763636390386,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11364.0
16,16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,77.0
16,17,-4.234099036421606,-4.234099036421606,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2215.0
16,18,-4.874621166964604,-4.874621166964604,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4663.0
16,19,-4.372912749012193,-4.372912749012193,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.0
16,20,-3.602293140148172,-3.602293140148172,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1098.0
17,1,-4.07689096687935,-4.07689096687935,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8087.0
17,2,-3.053536813082737,-3.053536813082737,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8004.0
